# x (km)              y (km)
 46073.860582724818  60763.044570268285
 45977.264974866106  60810.587815926614
 45880.092771944175  60857.368193548340
 45782.344724872935  60903.384496293365
 45684.021575045255  60948.635501045392
 45585.124054390420  60993.119968299718
 45382.465853435999  61081.117061546749
 45177.446550447232  61165.935271725190
 44970.071925714627  61247.563572245897
 44760.347604063740  61325.990645148537
 44548.279056655811  61401.204876674077
 44333.871602741587  61473.194352679937
 44117.130411370134  61541.946853893227
 43898.060503054214  61607.449850997065
 43676.666751393786  61669.690499544653
 43452.953884659481  61728.655634695853
 43226.926487337565  61784.331765770607
 42998.589001637993  61836.705070613163
 42767.945728967250  61885.761389760875
 42535.000831367615  61931.486220411396
 42299.758332924466  61973.864710181093
 42062.222121143248  62012.881650647832
 41822.395948297926  62048.521470670734
 41580.283432752411  62080.768229478948
 41335.888060256832  62109.605609521524
 41089.213185220353  62135.016909069753
 40840.262031962324  62156.985034563026
 40589.037695943669  62175.492492689140
 40335.543144980162  62190.521382188927
 40079.781220439938  62202.053385375271
 39821.754638426602  62210.069759355465
 39561.465990950797  62214.551326946159
 39298.917747091582  62215.478467268469
 39034.112254150314  62212.831106011494
 38767.051738799229  62206.588705350776
 38497.738308227003  62196.730253508409
 38226.173951283919  62183.234253940413
 37952.360539629284  62166.078714136282
 37676.299828883610  62145.241134014970
 37397.993459788951  62120.698493901058
 37117.442959379754  62092.427242063044
 36834.649742168105  62060.403281796207
 36549.615111346247  62024.601958030216
 36262.340260010293  61984.998043441570
 35972.826272408754  61941.565724049418
 35681.074125219951  61894.278584272353
 35387.084688862589  61843.109591422566
 35090.858728844076  61788.031079612367
 34792.396907151320  61729.014733046955
 34491.699783689393  61666.031568675702
 34188.767817773180  61599.051918172605
 33883.601369678327  61528.045409215360
 33576.200702257447  61452.980946030271
 33266.565982628366  61373.826689168651
 32954.697283941889  61290.550034478569
 32640.594587236268  61203.117591233233
 32324.257783387187  61111.495159375620
 32005.686675161742  61015.647705836127
 31684.880979386318  60915.539339878072
